 Ensembl 	HGNC	N1H1_Pool_1	N1H1_Pool_2	N1H1_Pool_3	P1A8_Pool_1	P1A8_Pool_2	P1A8_Pool_3
ENSG00000005156	LIG3	421	390	450	419	481	503
ENSG00000005175	RPAP3	1492	1135	1248	1218	1226	1405
ENSG00000005187	ACSM3	113.11	110.83	98.11	125.85	88.37	121.29
ENSG00000005189		274	246	253	288.59	299.84	326
ENSG00000005194	CIAPIN1	3313	2528	2845.79	3678	3593	4144
ENSG00000005206	SPPL2B	706	811	703	676	658	671
ENSG00000005238	FAM214B	509	529	422	680	721	639
ENSG00000005243	COPZ2	238.07	230	242	268	278	328
ENSG00000005249	PRKAR2B	226	168	201	338	366	439
ENSG00000005302	MSL3	917	766	913	1065	1193	1290
ENSG00000005339	CREBBP	3401	3243	2818	2070	2539	3059
ENSG00000005379	BZRAP1	38	54	50	47	48	41
ENSG00000005381	MPO	0	1	0	0	0	0
ENSG00000005421	PON1	1	0	0	1	1	0
ENSG00000005436	GCFC2	774	654.94	739	650	655	810.96
ENSG00000005448	WDR54	2529	2665.37	2159	2134	2119	2011
ENSG00000005469	CROT	384	359	371	519	500	565
