 Ensembl 	HGNC	N1H1_Pool_1	N1H1_Pool_2	N1H1_Pool_3	P1A8_Pool_1	P1A8_Pool_2	P1A8_Pool_3
SLC22A16	SLC22A16	0	0	0	0	0	0
ZMYND10	ZMYND10	106	102	87	86	84	80
ABCB5	ABCB5	5	1	3	0	1	0
ARX	ARX	0	0	0	1	0	0
SLC25A13	SLC25A13	1122	989	1062	1733	1851	2242
ST7	ST7	895.5	771.76	809.94	693.11	743.47	956.92
CDC27	CDC27	3574	2727	3128	4095	4246	5211.12
SLC4A1	SLC4A1	0	0	0	0	0	0
CALCR	CALCR	0	1	0	0	2	1
HCCS	HCCS	968	719	902	1157	1137	1307
DVL2	DVL2	2564	2481	1980	1678	1757	1908
PRSS22	PRSS22	0	0	0	0	0	0
UPF1	UPF1	2374	2099	2107	2757	2922	3171
SKAP2	SKAP2	6734	5732	6524	3230	3312	4036
SLC25A5	SLC25A5	7765.75	6042.62	7071.47	7951.75	7361.46	8849.45
MCUB	CCDC109B	679	561	609	813	809	1007
HOXA11	HOXA11	45.35	43.94	65.56	189.05	168.61	214.93
POLR2J	POLR2J	764.79	726.04	700.23	636.92	586.72	698.4
DHX33	DHX33	1156	981	1248	1260	1280	1447
MEOX1	MEOX1	5	3	6	70	88	106
THSD7A	THSD7A	72	73	89	121	143	261
LIG3	LIG3	421	390	450	419	481	503
RPAP3	RPAP3	1492	1135	1248	1218	1226	1405
ACSM3	ACSM3	113.11	110.83	98.11	125.85	88.37	121.29
REXO5		274	246	253	288.59	299.84	326
CIAPIN1	CIAPIN1	3313	2528	2845.79	3678	3593	4144
SPPL2B	SPPL2B	706	811	703	676	658	671
FAM214B	FAM214B	509	529	422	680	721	639
COPZ2	COPZ2	238.07	230	242	268	278	328
PRKAR2B	PRKAR2B	226	168	201	338	366	439
MSL3	MSL3	917	766	913	1065	1193	1290
CREBBP	CREBBP	3401	3243	2818	2070	2539	3059
TSPOAP1	BZRAP1	38	54	50	47	48	41
MPO	MPO	0	1	0	0	0	0
PON1	PON1	1	0	0	1	1	0
GCFC2	GCFC2	774	654.94	739	650	655	810.96
WDR54	WDR54	2529	2665.37	2159	2134	2119	2011
CROT	CROT	384	359	371	519	500	565
ABCB4	ABCB4	229	260	233	127	120	122
KMT2E	MLL5	3008.95	2789	2650	2163	2495	2892
RHBDD2	RHBDD2	1034	799	1008	1348	1315	1510
SOX8	SOX8	0	0	0	0	0	0
IBTK	IBTK	3242	2709	2945	3010	3309	4214
ZNF195	ZNF195	404	325	405	490	497	508
MYCBP2	MYCBP2	2204.99	1776	2077	1532.97	2050	3044.93
FBXL3	FBXL3	3949.09	3303.77	3096	2832.38	2867.93	3453.42
ITGAL	ITGAL	0	0	0	0	0	0
PDK2	PDK2	893.3	816.93	914.35	976.27	1072.26	1164.66
ITGA3	ITGA3	12088	10816	10757	13249	14405	16021
ZFX	ZFX	2861	2513	2633	2211	2476	3014
LAMP2	LAMP2	9411.89	7407	7695	7556	7485.05	8736
ITGA2B	ITGA2B	50	103	32	32	40	39
ASB4	ASB4	0	1	0	0	0	0
GDE1	GDE1	2074.47	1691	1914	2553.5	2542.39	2950
REX1BD	C19orf60	102	123	75	135	103	107
CRLF1	CRLF1	28.48	38.34	35.36	25.67	34.39	38.36
OSBPL7	OSBPL7	388	449	396	306	341	319
TMEM98	TMEM98	1397	1218	1279	52	43	83
YBX2	YBX2	243	400	264	12	7	16
KRT33A	KRT33A	0	0	0	0	0	0
MAP3K14	MAP3K14	532.61	486.4	519.73	684.92	654.3	705.82
ABCC8	ABCC8	0	0	0	0	0	0
CACNG3	CACNG3	0	0	0	0	0	0
TMEM132A	TMEM132A	1003	922	966.86	1097	1009	1193
AP2B1	AP2B1	12813	11137	10763	11441	12392	14568
TAC1	TAC1	0	0	0	0	0	0
ZNF263	ZNF263	1155.21	1058.68	887.88	888.9	972.59	1142.11
CX3CL1	CX3CL1	1043	936	861	250.01	240	293
SPATA20	SPATA20	1341	1297	1247	784	741	845
CACNA1G	CACNA1G	36	32	22	5	7	9
TNFRSF12A	TNFRSF12A	2529	1857	2318	1800	1634	1914
DLX6	DLX6	0	0	0	1	0	0
MAP3K9	MAP3K9	1024	946	1040	731	801	1037
RALA	RALA	3287	2765	2712	2941	2923	3471
BAIAP2L1	BAIAP2L1	450	426.91	481.72	548.96	596.98	610.96
KDM7A	JHDM1D	1458	1163	1525	358	464	581
ETV1	ETV1	1322	1229	1389	1960	2209	2688
AGK	AGK	1079	974	924	1024	1028	1238
ALDH3B1	ALDH3B1	215	245	218	646	594	631
TTC22	TTC22	1	1	2	0	0	0
PHTF2	PHTF2	2738	2224	2256	1949	2062	2389
CCL26	CCL26	17	7	3	0	3	2
FARP2	FARP2	700.53	605.71	685.53	996.09	1035.03	1251.18
USH1C	USH1C	0	5	2	0	0	0
GGCT	GGCT	676	581	689	886	927	1188
DBF4	DBF4	1123.61	891	1064.69	1110	1076	1389
TBXA2R	TBXA2R	18	14	7	9	15	11
IFRD1	IFRD1	1460	1495	1263	1148	1176	1286
LGALS14	LGALS14	0	0	0	0	0	0
COX10	COX10	477	439	393	420	422	433
GTF2IRD1	GTF2IRD1	903	835	872	699	680	726
PAF1	PAF1	1999	1733	1676	2587	2455	2941
VPS41	VPS41	2964	2878	2578	2635	2779	3350
ARHGAP44	ARHGAP44	7	9	12	15	18	21
ELAC2	ELAC2	1427	1156	1442	1640	1536	1907
SCIN	SCIN	715.89	679.9	794.99	1025.43	1133.44	1336.51
ARSD	ARSD	3735.29	3382.76	3591.43	2849.99	2995.99	3317.37
PNPLA4	PNPLA4	541	482	552	726	703	833
MYH13	MYH13	0	0	0	0	0	0
ADIPOR2	ADIPOR2	4268	3566	3684	4506	4530	5487
CDKL3	CDKL3	114.72	100.61	85.35	65.07	57.26	80.03
UPP2	UPP2	0	1	0	0	0	0
PRSS21	PRSS21	0	0	0	0	0	0
MARK4	MARK4	1140	1069	1007	781	749	828
PROM1	PROM1	214	221	259	170	201	277
CCDC124	CCDC124	963	828	800	779	662	852
CEACAM21	CEACAM21	0	0	0	0	0	0
PAFAH1B1	PAFAH1B1	8448	7027	7322	8472	8962.25	10792
NOS2	NOS2	2	0	1	2	0	1
DNAH9	DNAH9	0	0	0	2	0	0
KIAA0100	KIAA0100	6807.02	5373.52	6576.9	6126.89	6598.92	7679.46
SLC13A2	SLC13A2	0	0	0	1	0	0
GAS7	GAS7	0	0	0	0	0	0
TRAPPC6A	TRAPPC6A	185	198	180	257	230	287
MATK	MATK	0	0	0	0	0	0
CEACAM7	CEACAM7	0	0	0	1	0	0
CD79B	CD79B	0	0	1	0	0	4
SCN4A	SCN4A	0	0	0	0	0	0
ST7L	ST7L	337.61	332.66	377.12	558.46	517.06	601.22
TKTL1	TKTL1	0	0	0	0	0	0
PAX6	PAX6	33.9	36	37.58	791.99	814.39	798.98
RPUSD1	RPUSD1	243	208	227	303	279	319
RHBDF1	RHBDF1	626	531	625	629	715	683
LUC7L	LUC7L	1273	1540	1494	1109	1097	1166
CACNA2D2	CACNA2D2	8	4	7	142	151	168
BAIAP3	BAIAP3	521.14	683.43	343.95	30.07	27.07	29.04
TSR3	C16orf42	472.86	370.57	379.05	452.93	457.93	638.96
PIGQ	PIGQ	1176	1083	1124	1547	1508	1739
CRAMP1	CRAMP1L	916.02	860.04	882.32	878	973.39	1124.34
TEAD3	TEAD3	362	291	378	826	832	906
SELE	SELE	0	0	0	0	0	0
DNAJC11	DNAJC11	1508.25	1402.24	1398.74	1720.71	1847.26	2061.88
FMO3	FMO3	0	0	1	0	0	0
MYLIP	MYLIP	601	519	508	946	1085	1112
NOX1	NOX1	0	0	0	0	0	0
E2F2	E2F2	244	184	207	302	324	393
PSMB1	PSMB1	3550	3189	3210	4454	4064	5357
SYN1	SYN1	27	27	20	2	3	1
JARID2	JARID2	692	689	675	475	541	627
CDKL5	CDKL5	251	238	169	80	107	91
CAMK1G	CAMK1G	15	22	9	0	1	0
CDK11A	CDK11A	547.01	500.57	626.97	786.91	783.53	772.31
NADK	NADK	867	590	769	1244	1252	1367
TFAP2B	TFAP2B	0	0	0	1	0	0
TFAP2D	TFAP2D	0	0	0	0	0	0
DLEC1	DLEC1	2.15	3.7	0	2	4.18	4.31
CYTH3	CYTH3	1282	1080	1219	2393	2448	2681
ADAM22	ADAM22	567	580	628	102	118	160
SYPL1	SYPL1	5357	4256	4597	7631	7232	8947
CYB561	CYB561	378	312	372	1018	897	1109
SPAG9	SPAG9	6636	6372	6250	4341	4776	5568
CELSR3	CELSR3	157	183	222	143	127	156
AASS	AASS	815	893	826	445	483	543
PLEKHG6	PLEKHG6	10	6	9	3	10	9
SS18L2	SS18L2	450	357	384	413	375	501
MPND	MPND	278.99	195	246	247	206	230
MGST1	MGST1	2552	2000	2163	467	451	569
CRY1	CRY1	1226	779	1368	898	968	1177
PGLYRP1	PGLYRP1	0	0	0	0	0	0
NFIX	NFIX	1661	1601	1681	2336	2562	2767
ST3GAL1	ST3GAL1	1258	1166	1310	1151	1199	1158
MMP25	MMP25	4.1	8.99	5.29	2.13	4.52	0
IL32	IL32	520	509	443	561	608	691
PKD1	PKD1	1820.46	1915.64	1443.21	1712.93	1703.35	2068.37
MAPK8IP2	MAPK8IP2	2	4	3	9	5	7
MED24	MED24	1599	1579	1446	1470	1550	1672
RHOBTB2	RHOBTB2	829.5	700.39	738.08	1775.81	1694.68	2074.2
HEATR5B	HEATR5B	1449	1431	1205	846	983	1102
SEC62	SEC62	9288	7214	8096	7128	7502	9099
RPS20	RPS20	13555	12400	11542	10252	9762	11641
CSDE1	CSDE1	19069	16474	15658	13740	14636	17474
UBE3C	UBE3C	4113	3407	3767	3227	3437	4130
REV3L	REV3L	1585.9	1241.93	1431.9	1322.95	1707.94	2212.97
TENM1	ODZ1	0	0	1	2	0	1
PAX7	PAX7	0	0	0	0	0	0
MASP2	MASP2	19	26	15	22	27	33
IYD	IYD	1	0	0	0	0	0
FAM76A	FAM76A	336	229	299	339	336	401
TRAF3IP3	TRAF3IP3	49	54	59	52	51	87
POMT2	POMT2	214	192	269	411	421	448
VTA1	VTA1	2656	2202	2194	2790	2728	3260
MLXIPL	MLXIPL	4	1	5	3	4	0
BAZ1B	BAZ1B	6047	4559	5379	5918	6485	7889
RANBP9	RANBP9	2550.17	2088	2028.86	2217.24	2271.13	2568.91
ETV7	ETV7	13	6	8	188	210	285
SPRTN	C1orf124	340.49	218.73	316.04	519.52	635.43	660.72
EEF1AKNMT	METTL13	990	899	923	1145	1246	1415
DYRK4	DYRK4	346	273.97	303	348.64	319.96	393.9
ZNF207	ZNF207	5301	5286	4965	5856	5915	6710
UQCRC1	UQCRC1	4268.01	3697	3422	4269	3802	4664
STARD3NL	STARD3NL	1859	1565	1651	1717	1686	2113
CD9	CD9	4931	4174	3972	10702	10221	12655
HHATL	HHATL	0	0	0	1	2	4
NCAPD2	NCAPD2	3940.7	3469.67	3690.14	5045.43	5495.49	6512.87
IFFO1	IFFO1	466	395	487	508	527	524
GIPR	GIPR	14	22	8	0	6	0
PHF7	PHF7	83	61	52	108	102	102
SEMA3G	SEMA3G	4	5	7	3	12	14
NISCH	NISCH	4044	4597	3928	3106	3195.53	3251
STAB1	STAB1	20	27	15	0	0	4
FUZ	FUZ	444.03	424.18	386.1	546.89	441	580.56
SLC6A13	SLC6A13	8	7	2	2	0	0
IDS	IDS	5711.45	4866.65	4667.54	3585.77	3990.75	4649.99
PRSS3	PRSS3	2	13	6	0	2	4
ZNF200	ZNF200	424	347	392	602	507.64	704
CD4	CD4	10	15	13	9	14	9
LRRC23	LRRC23	213.85	236.49	203.99	200.92	175.46	228.02
BTK	BTK	3	0	1	1	0	0
HFE	HFE	1018	940	817	929	1068	1160
SCMH1	SCMH1	954	837	858	893	933	1041
FYN	FYN	664	578	618	743	674	801
HIVEP2	HIVEP2	2986.01	2375	2415	897	1096	1438
FMO1	FMO1	0	1	3	0	0	0
ELOA	TCEB3	2203.34	1722.81	1689.75	1743.26	2037.65	2213.16
LYPLA2	LYPLA2	1269	1064	1173	1640	1586	1748
CLCN6	CLCN6	1382.95	1338.87	1244.88	813	963.84	937.94
MRC2	MRC2	4896	5049	4637	4876	5169	5838
NME1-NME2	NME2	25.38	36.83	19.34	26.89	48.42	156.86
SLC6A7	SLC6A7	0	0	0	0	0	0
TSPAN9	TSPAN9	3049	3017	2802	3768	3820	4025
BTBD7	BTBD7	2529	1991	2073	1728.02	1968	2418
APBA3	APBA3	324	356	318	344	301	334
MKS1	MKS1	434	430	472	466	450	515
ABHD5	ABHD5	302	201	262	311	285	386
ANOS1	KAL1	447	412	421	12	24	17
AKAP8L	AKAP8L	1683.99	1645.99	1497.99	1414	1435	1377
MBTD1	MBTD1	1410	1319	1290	1182	1259	1487
UTP18	UTP18	1417	1194	1486	1582	1416	1927
RNF216	RNF216	1991	1807	1937	1863	1976	2122
TTC19	TTC19	1175	1014.13	1168.33	1925.5	1856.94	2289.49
PTBP1	PTBP1	9223	8563	8257	8020	7834	9328
DPF1	DPF1	75	74	67	33	34	41
SYT7	SYT7	3	2	5	120	117	130
LARS2	LARS2	1198	1058	1094	1454	1512	1848
PIK3C2A	PIK3C2A	5097	4108	4233	3663	4396	5485
PLAUR	PLAUR	561	492	437	282	259	327
ANLN	ANLN	8223	6754	6812	7551	7933	9575
WIZ	WIZ	951	954	860	942	985	1104
RABGAP1	RABGAP1	3076	2938	2822	3029	3475	4002
DCN	DCN	11	2	2	23	14	9
QPCTL	QPCTL	364	363	286	295	283	290
PPP5C	PPP5C	2073.77	1821	2004	2659	2526	2950
CEP68	CEP68	618	621.64	585	839.48	813	957
MAP4K3	MAP4K3	1869	1679.97	1845	3177	3259	3966
ZBTB32	ZBTB32	3	5	6	1	2	1
TYROBP	TYROBP	0	0	1	0	0	0
TMEM159	TMEM159	326	294	252	284	306	379
GABRA3	GABRA3	2	0	0	0	0	0
BRCA1	BRCA1	1820	1470	1481	2009	2439	2937
ERCC1	ERCC1	1749.78	1736	1707.82	1823.06	1884.63	2034.91
CD22	CD22	0	0	0	1	1	0
SEMA3B	SEMA3B	131	162	100	130	141	157
MBTPS2	MBTPS2	1358.86	1197.49	1314.46	1435.41	1467.87	1866.02
PRICKLE3	PRICKLE3	133.55	111.27	109.31	123.32	133.09	157.64
LTF	LTF	0	0	2	1	2	0
EXTL3	EXTL3	1713	1239	1538	2690	2916	3211
NR1H4	NR1H4	63	46	40	9	8	12
ELOVL5	ELOVL5	4939	3786	4629	6673	6647	8133
ALOX5	ALOX5	161	151	137	355	360	358
KDM5D	KDM5D	1	0	0	0	0	0
CALCOCO1	CALCOCO1	2419	2986	2788	2299	2444	2473
UBR7	UBR7	3727	3025	3192	3462.21	3467	4169
MAP4K5	MAP4K5	3130	2720	2871	2975	3177	3749
EHD3	EHD3	413	368	351	625	686	821
PSMC4	PSMC4	1519	1273	1352	2004	1842	2266
MAN2B2	MAN2B2	865	812	677	1620	1659	1976
SLC7A14	SLC7A14	0	0	0	25	35	35
CLDN11	CLDN11	58	64	67	2876	2915	3243.54
SLC25A39	SLC25A39	1282	970	1190	1592	1594	1792
MVP	MVP	3781.97	3368.98	3447.89	3395	3355.99	3613.92
NUB1	NUB1	1587	1312	1448	2716	2805.99	3483
PGM3	PGM3	1964.23	1604.76	1735.41	2219.91	2466.85	2815.97
RWDD2A	RWDD2A	353	347	308	522	464	531
CLK1	CLK1	4997	5339	4058	2896	2594	2826
POLR3B	POLR3B	285	224	336	380	374	444
ANGEL1	ANGEL1	396	361	402	457	464	506
RNF14	RNF14	1506	1208	1307	1713	1736.96	2071
DNASE1L1	DNASE1L1	703.73	607.73	643.86	921.61	853.72	988.78
DDX11	DDX11	1359.36	1697.45	1565.78	1505.08	1649.82	1592.28
HEBP1	HEBP1	918	696	858	654	638	822
GPRC5A	GPRC5A	3465	3508	3105	1649	1786	2020
MAMLD1	MAMLD1	121	110	150	57	56	58
CD6	CD6	0	0	0	0	0	0
TACC3	TACC3	1901.59	1700.68	1701.07	2921.71	2943.76	3313.54
UFL1	UFL1	1906	1396	1603	1585	1784	2135
POLA2	POLA2	1437	1260	1261	2047	1967	2281
ZC3H3	ZC3H3	307	279	267	292	296	346
CAPN1	CAPN1	2579	2332	2390	2623	2591	2817
ACP3	ACPP	0	0	0	0	0	0
MDH1	MDH1	7021	6100	5738	6823	6652.99	7625
SLC30A9	SLC30A9	4423	3737	3654	4093	4121	4847
MTMR11	MTMR11	827.56	1105	832	664	777	764
COX15	COX15	1311	1362	1192	1404	1405	1587
CCDC88C	CCDC88C	617	518	636	613	651	738
YAF2	YAF2	689	491	550	615	596	772
ZMYND11	ZMYND11	3795	3071	3418.98	3768	3982	4802
WAS	WAS	0	1	6	6	4	1
DPEP1	DPEP1	29	15	27	32	28	22
BID	BID	845	694	802	1115	1090	1156
MATR3	MATR3	14833	12685.99	13156	15892.15	16505	19997.04
NPC1L1	NPC1L1	8	17	17	0	1	3
XYLT2	XYLT2	1417	1225	1211	872	923	1028
RGPD5	RGPD5	91.73	24.24	13.29	24.68	108.11	1420.21
STMN4	STMN4	0	0	2	0	0	0
NUDCD3	NUDCD3	2249	2067	1986	2538	2670	3018
ISL1	ISL1	2	0	1	6	9	7
CHDH	CHDH	131	135	123	227	228	322
IL20RA	IL20RA	1	2	0	2	0	1
CLCA1	CLCA1	0	0	0	0	0	0
CLCA4	CLCA4	0	0	0	0	0	0
GLT8D1	GLT8D1	1460.48	1205.64	1358.64	2153.19	2050.59	2581.76
ATP2C1	ATP2C1	6707.87	5922.8	5706.58	5718.66	5861.19	6985.51
IGF1	IGF1	0	2	1	0	0	1
SLC38A5	SLC38A5	1046	986	1020	972	967	1103
RALBP1	RALBP1	2603	2062	2258	2903	3105	3709
RUFY3	RUFY3	868	839	833	488	546	623
CNTN1	CNTN1	1	0	0	11	21	24
SLC11A1	SLC11A1	15	13	10	19	19	18
WWTR1	WWTR1	4102.22	3363.23	3649.5	4937.21	5420.78	6233.69
AGPS	AGPS	3215	2564	3187	3346	3528	4459
ZNF806	ZNF806	0	0	0	0	1	0
STEEP1	CXorf56	775	622	685	811	731	979
ATP1A2	ATP1A2	0	0	0	0	1	0
TTC27	TTC27	624	599	596	647	678	855
ZNF582	ZNF582	19	30	29	71	73	72
VSIG2	VSIG2	2	2	3	2	0	0
PHLDB1	PHLDB1	3009	2892.69	3037	1984	1949.62	1927.58
MARCO	MARCO	0	0	0	0	0	0
CYP24A1	CYP24A1	49	89	88	9	10	12
PRDM11	PRDM11	106	92	92	101	120	149
SYT13	SYT13	0	0	0	0	0	0
SNAI2	SNAI2	194	146	203	61	55	71
CD74	CD74	2501	2465	2395	1514	1590	1925
HGF	HGF	6	2	8	281	354	447
ZRANB1	ZRANB1	2090.93	1625.22	1668.67	1564	1600.06	1878.87
NCDN	NCDN	606	567	638	772	851	837
ADGRA2	GPR124	32.43	31.25	25.17	44.46	54.97	58.61
CCT8L1P	CCT8L1P	0	0	0	0	0	0
ZFP64	ZFP64	503	469	471	535	497	638
MNAT1	MNAT1	1015	816	754	845	838	1047
SAMD4A	SAMD4A	994	1047	972	687	712	838
RUNX3	RUNX3	1	3	0	7	4	7
MRE11	MRE11A	1117.98	1010.59	980.23	1275.85	1382.49	1601.54
PLEKHB1	PLEKHB1	365	356	398	280	296	355
SERPINB1	SERPINB1	904	749	887	978	1016	1150
CYP3A43	CYP3A43	0	0	0	0	0	0
SLC7A9	SLC7A9	0	0	0	3	2	0
SPAST	SPAST	1061	828	852	1180	1261	1543
NRXN3	NRXN3	202	172	199	1	5	1
OSBPL5	OSBPL5	241	256	227	332	369	388
AQR	AQR	2255	2129	1928	1849	2161	2444
CPS1	CPS1	1422	1238	1270	1589	1620	1855
C8B	C8B	0	0	0	0	0	0
FHL1	FHL1	2796	2587	2268	1540	1573	1793
RTF2	C20orf43	3101	2877	2710.97	2818	2942	3360
GABRA1	GABRA1	0	0	0	1	1	0
NLRP2	NLRP2	0	0	0	0	0	0
SLC45A4	SLC45A4	150	120	149	250	236	265
RNF10	RNF10	3025	2404	2611	2940	3146	3582
ZNF839	ZNF839	295	230	197	368	366	366
ZDHHC6	ZDHHC6	1436	1385	1334	1351	1312	1585
GRAMD1B	GRAMD1B	239	186	210	640	744	810
RNH1	RNH1	3518	3237	3122	3140	2928	3357
NDUFS1	NDUFS1	4820	3778	4210	4587	4887	5635
RB1CC1	RB1CC1	3158	2445	2606	2335	2527	3051
ERP44	ERP44	1746	1699	1641	2325	2321	2755
ALAS1	ALAS1	1246	827	824	1484	1587	1842
BIRC3	BIRC3	1233	1077	1258	4691.91	5128	6235
AKAP11	AKAP11	4010	3455	3340	2717	3443	4477
GLRX2	GLRX2	125	119	132	184	167	205
DERA	DERA	1459	1348	1145	1512	1398	1803
STRAP	STRAP	3574	2703	3352	3726	3481	4504
ABCC2	ABCC2	5	20	22	12	15	14
DEF6	DEF6	2	5	5	16	30	31
PLEKHO1	PLEKHO1	364	315	346	402	414	480
GCLM	GCLM	908	640	761	714	724	903
UBR2	UBR2	1371	1335	1355	1414	1661	1962
EHD2	EHD2	2226	2281	2001	3598	3617	4092
DEPDC1	DEPDC1	3184.96	2670.97	2750.89	2562.91	2621.81	3108.86
CCDC28A	CCDC28A	810	890	610	492	540.42	712
RRAGD	RRAGD	3154	2870	2381	410	426	453
HSF2	HSF2	1135	927	959	962	935	1196
PHF20	PHF20	2171	1816	1951	1558	1708	1903
HSD17B6	HSD17B6	31	21.04	13	26.01	16	27
NR1H3	NR1H3	223	229	230	223	200	241
TYMP	TYMP	3	3	2	43	29.11	37
NCAPH2	NCAPH2	1514	1565	1367	1744	1511	1900
TOMM34	TOMM34	2123	1687	1873	2034	1921	2283
SEC63	SEC63	4356.94	3739.95	3915.92	4152.91	4428.96	5094.94
KPNA6	KPNA6	2641	2285	2456.53	2620.5	2683	3230
VIM	VIM	47978.72	45718.5	37337.07	37884.29	36666.56	41082.76
RTEL1-TNFRSF6B	RTEL1	163.99	239.59	205.59	555.1	434.23	550.37
FAS	FAS	965.02	691.01	853.02	1804.73	1826.61	1974.71
RNASET2	RNASET2	5323	5738.66	4479	869	838	889
CD44	CD44	3413	2794.96	3194	8139	8358	9941
KCNG1	KCNG1	0	0	0	0	0	0
AGPAT4	AGPAT4	854	757	903	550	621	673
SLAMF7	SLAMF7	3	2	1	4	2	1
BTN3A1	BTN3A1	994.16	1078.68	942.07	2912.65	3006.01	3189.37
MIPEP	MIPEP	387	306	362	462	465	522
PRKCH	PRKCH	22	20	26	13	17	12
INSRR	INSRR	3	12	4	0	0	0
IFNGR1	IFNGR1	1293	992	1130	2609	2614	3367
B4GALT7	B4GALT7	863	753	776	568	523	614
SH2D2A	SH2D2A	1	0	5	5	2	7
VRK2	VRK2	581.27	494.86	625.9	720.69	750.12	922.93
TNFRSF1B	TNFRSF1B	7	4	9	122	135	159
VEZT	VEZT	2654	2257	2219	2895	3099	3590
POU2F2	POU2F2	17	19	15	26	46	42
BRD9	BRD9	819.68	775	770	740	789	868
SNX1	SNX1	4205	3709	3911.91	4608	4789	5285
TBPL1	TBPL1	472.43	384.53	446.14	624.45	652.22	847.89
ARNTL2	ARNTL2	966	693	883	575	669	773
BCLAF1	BCLAF1	8552	7450	7824	8263	9088	11719
SLC39A9	SLC39A9	2718	2555.01	2277.01	2837.01	2948.01	3383.01
ANK1	ANK1	20	14	14	907	1052.81	1198
IBSP	IBSP	0	0	0	0	0	0
TFB1M	TFB1M	452	412	417	692.94	679	881
RABEP1	RABEP1	3742.82	3224.98	3387.24	2683.54	2725.27	3334.1
HMGB3	HMGB3	1588	1230	1370	2830	2776	3076
NUP160	NUP160	2790	2560	2584	2793	2945	3821
BAK1	BAK1	1028	759	974	1123	1117.97	1354
MUSK	MUSK	0	0	0	0	1	0
IKZF2	IKZF2	305	259	290	599	676	930
GRN	GRN	10140	9334.22	9276	13102	13007	14679
FAM13B	FAM13B	1828.8	1924.53	1677.48	2081.78	2259.62	2479.59
ARHGAP31	ARHGAP31	1083	856	1115	654	724	879
CENPQ	CENPQ	1249	1058	947	1243.02	1177	1394
