NAME	Description	mir130_1	Control_1	mir130_2	Control_2	mir130_3	Control_3
RP5-890O3.3	ENSG00000223663.2	0	0	0	2	0	0
CCNL2	ENSG00000221978.7	5329	5813	6213	5937	3218	6866
RP4-758J18.2	ENSG00000224870.3	712	918	659	956	278	440
MRPL20	ENSG00000242485.1	4244	4377	4789	3945	5463	3944
RP4-758J18.13	ENSG00000272455.1	18	32	30	28	24	34
ANKRD65	ENSG00000235098.4	5	2	3	5	0	7
RP4-758J18.10	ENSG00000225285.1	0	4	0	1	2	5
VWA1	ENSG00000179403.10	47	85	7	30	6	6
ATAD3C	ENSG00000215915.5	4	10	2	8	5	8
ATAD3B	ENSG00000160072.15	978	1295	993	1606	50	183
ATAD3A	ENSG00000197785.9	2033	2321	1528	2722	104	246
TMEM240	ENSG00000205090.4	3	1	0	1	0	0
SSU72	ENSG00000160075.10	12420	11228	12332	10805	12815	10269
AL645728.1	ENSG00000215014.3	10	17	30	25	20	25
C1orf233	ENSG00000228594.1	788	837	478	741	37	122
RP11-345P4.9	ENSG00000272106.1	254	318	271	349	90	238
MIB2	ENSG00000197530.8	703	884	429	703	82	202
MMP23B	ENSG00000189409.8	2	2	1	0	0	1
CDK11B	ENSG00000248333.3	188	236	253	303	144	160
RP11-345P4.10	ENSG00000272004.1	2	5	2	0	3	2
SLC35E2B	ENSG00000189339.7	568	1015	546	1355	319	309
RP11-345P4.7	ENSG00000269737.1	37	23	3	19	2	3
RP11-345P4.6	ENSG00000269227.1	10	4	1	1	6	4
MMP23A	ENSG00000215914.3	0	2	1	8	10	10
CDK11A	ENSG00000008128.18	15	17	32	24	11	15
RP1-283E3.8	ENSG00000268575.1	57	75	31	67	12	45
RP1-283E3.4	ENSG00000227775.3	58	71	30	96	9	12
SLC35E2	ENSG00000215790.2	71	158	85	144	19	59
NADK	ENSG00000008130.11	2873	3067	2457	3397	403	1054
GNB1	ENSG00000078369.13	14805	16324	13518	16648	7528	8482
RP1-140A9.1	ENSG00000231050.1	16	16	14	11	16	9
CALML6	ENSG00000169885.5	2	1	0	1	0	1
TMEM52	ENSG00000178821.8	78	74	86	84	40	55
C1orf222	ENSG00000142609.13	1	0	0	0	0	1
GABRD	ENSG00000187730.6	2	3	1	1	0	3
RP11-547D24.3	ENSG00000226969.1	2	0	0	1	0	0
PRKCZ	ENSG00000067606.11	85	74	75	77	35	83
RP5-892K4.1	ENSG00000271806.1	0	6	0	1	0	0
RP11-181G12.2	ENSG00000182873.4	17	22	19	26	6	4
C1orf86	ENSG00000162585.12	1657	1813	1500	1332	609	1317
AL590822.1	ENSG00000203301.2	0	7	1	7	2	2
RP11-181G12.4	ENSG00000234396.3	0	0	0	2	1	2
SKI	ENSG00000157933.9	176	129	95	151	28	47
MORN1	ENSG00000116151.9	96	123	105	134	30	64
RP4-713A8.1	ENSG00000272161.1	2	1	0	4	0	0
AL589739.1	ENSG00000269753.1	2	0	0	3	0	0
RP4-740C4.6	ENSG00000269896.1	16	20	14	10	9	13
RP4-740C4.7	ENSG00000272420.1	11	10	2	12	7	8
RP4-740C4.9	ENSG00000271921.1	1	4	1	5	7	1
RP4-740C4.8	ENSG00000271847.1	0	5	0	3	0	0
RER1	ENSG00000157916.14	9898	8949	8576	7821	8641	7428
PEX10	ENSG00000157911.5	458	672	488	586	72	383
PLCH2	ENSG00000149527.13	4	7	0	0	1	1
PANK4	ENSG00000157881.9	655	1142	1505	1330	495	1611
HES5	ENSG00000197921.5	26	38	17	17	0	10
RP3-395M20.12	ENSG00000272449.1	15	21	9	23	0	4
RP3-395M20.8	ENSG00000238164.2	41	38	7	22	9	13
TNFRSF14	ENSG00000157873.13	612	836	350	722	126	267
RP3-395M20.7	ENSG00000225931.3	3	1	0	0	0	0
RP3-395M20.9	ENSG00000228037.1	4	1	0	4	2	2
FAM213B	ENSG00000157870.10	1278	1212	654	1131	89	197
MMEL1	ENSG00000142606.11	9	23	3	10	6	15
TTC34	ENSG00000215912.7	16	27	16	7	11	32
LINC00982	ENSG00000177133.6	12	16	6	12	5	4
PRDM16	ENSG00000142611.12	53	92	62	110	53	38
RP1-163G9.2	ENSG00000226286.1	0	0	0	0	1	0
ARHGEF16	ENSG00000130762.10	91	76	13	31	3	1
RP11-168F9.2	ENSG00000272088.1	0	0	1	3	1	0
MEGF6	ENSG00000162591.11	200	408	93	400	18	66
MIR551A	ENSG00000207776.1	0	1	0	0	0	0
RP11-46F15.2	ENSG00000238260.1	0	7	2	5	6	13
TPRG1L	ENSG00000158109.10	1183	1085	673	1025	308	602
WRAP73	ENSG00000116213.11	1994	1779	1525	1766	825	1423
TP73	ENSG00000078900.10	7	12	1	16	4	8
TP73-AS1	ENSG00000227372.6	778	1345	435	1141	120	212
CCDC27	ENSG00000162592.4	3	7	0	9	4	6
SMIM1	ENSG00000235169.3	698	565	350	301	1153	1208
LRRC47	ENSG00000130764.5	2104	2273	1972	2667	621	1026
RN7SL574P	ENSG00000266075.1	5	13	5	3	6	11
RP1-286D6.5	ENSG00000272153.1	8	9	1	15	3	4
CEP104	ENSG00000116198.8	1227	1366	1554	1214	862	1630
DFFB	ENSG00000169598.11	674	731	688	963	247	492
C1orf174	ENSG00000198912.6	4103	3710	3249	3580	3308	3096
RP13-15E13.1	ENSG00000236423.1	21	22	11	18	9	17
NPHP4	ENSG00000131697.13	215	396	132	356	43	74
AL356261.1	ENSG00000266687.1	0	0	0	0	0	2
KCNAB2	ENSG00000069424.10	2006	3784	847	3456	344	522
CHD5	ENSG00000116254.13	17	60	37	71	16	25
RPL22	ENSG00000116251.5	6063	5961	6076	6736	6549	6309
RP1-120G22.11	ENSG00000226944.1	7	3	2	2	0	5
RNF207	ENSG00000158286.8	75	102	23	38	25	42
ICMT	ENSG00000116237.11	3135	3210	4567	5421	1193	1469
LINC00337	ENSG00000225077.2	9	13	11	10	2	1
GPR153	ENSG00000158292.6	21	17	10	19	3	2
ACOT7	ENSG00000097021.15	2725	3592	3382	3579	1023	1527
HES2	ENSG00000069812.7	0	0	1	1	2	0
ESPN	ENSG00000187017.10	6	4	11	6	0	2
TNFRSF25	ENSG00000215788.5	794	708	671	493	227	586
PLEKHG5	ENSG00000171680.16	4	2	2	14	1	0
NOL9	ENSG00000162408.10	1247	1286	1352	1822	540	573
RNU6-731P	ENSG00000253022.1	0	0	1	1	0	0
RP11-58A11.2	ENSG00000229519.2	5	15	8	21	0	1
TAS1R1	ENSG00000173662.15	2	0	0	0	0	0
ZBTB48	ENSG00000204859.7	712	765	519	747	146	456
KLHL21	ENSG00000162413.12	465	866	399	1281	108	109
PHF13	ENSG00000116273.5	315	623	654	861	165	308
THAP3	ENSG00000041988.11	885	1030	898	784	512	872
DNAJC11	ENSG00000007923.11	2865	3289	3828	3884	1289	2227
RP11-242F24.1	ENSG00000228750.1	1	0	0	0	0	0
RP11-312B8.1	ENSG00000237436.1	33	39	30	62	23	27
CAMTA1	ENSG00000171735.14	5568	4085	4199	3593	9254	5616
RP11-312B8.2	ENSG00000227950.1	1	0	0	0	0	0
RP11-334N17.1	ENSG00000237365.1	1	0	0	1	0	0
CAMTA1-IT1	ENSG00000237402.1	2	3	0	0	5	1
RP4-549F15.1	ENSG00000225126.1	0	0	1	0	0	0
RP11-338N10.1	ENSG00000270171.1	0	0	0	3	1	0
RP11-338N10.2	ENSG00000270035.1	0	5	1	0	0	1
RP11-338N10.3	ENSG00000269978.1	7	8	2	5	1	3
VAMP3	ENSG00000049245.8	2455	2784	1876	3379	1687	2049
RP3-467L1.6	ENSG00000269925.1	10	10	9	23	8	6
PER3	ENSG00000049246.10	402	488	532	614	417	515
RP3-467L1.4	ENSG00000236266.1	13	3	12	12	18	4
UTS2	ENSG00000049247.9	42	24	24	28	228	112
TNFRSF9	ENSG00000049249.4	49	29	10	8	25	46
PARK7	ENSG00000116288.8	21651	22023	25873	22933	40424	31047
Y_RNA	ENSG00000200344.1	40	28	28	20	18	13
ERRFI1	ENSG00000116285.8	10	21	26	19	41	26
CTA-215D11.4	ENSG00000232848.1	0	1	0	0	0	0
SLC45A1	ENSG00000162426.10	3	1	0	0	0	0
RERE	ENSG00000142599.13	644	762	541	756	399	644
RP5-1115A15.1	ENSG00000232912.1	4	14	6	2	11	3
SNORA77	ENSG00000221083.1	5	0	1	0	0	2
RP5-1115A15.2	ENSG00000270282.1	51	28	7	13	4	4
RP4-633I8.1	ENSG00000234619.1	1	0	2	1	3	2
RP4-633I8.2	ENSG00000224315.2	4	2	14	2	1	5
Y_RNA	ENSG00000222511.1	0	2	0	2	0	0
RP4-633I8.3	ENSG00000226545.1	0	2	0	2	0	0
RP4-633I8.4	ENSG00000228423.2	215	104	41	54	38	29
ENO1	ENSG00000074800.9	186033	225955	157856	158325	245937	312459
ENO1-IT1	ENSG00000236269.1	9	14	4	18	0	10
ENO1-AS1	ENSG00000230679.1	54	38	54	61	80	60
HMGN2P17	ENSG00000238249.1	133	173	273	116	402	282
RP3-477M7.5	ENSG00000232208.2	0	3	0	0	8	6
CA6	ENSG00000131686.10	0	0	0	0	4	0
SLC2A7	ENSG00000197241.3	2	0	0	1	5	0
SLC2A5	ENSG00000142583.13	171	350	287	436	159	370
GPR157	ENSG00000180758.10	62	83	68	115	39	16
RP3-510D11.1	ENSG00000228526.2	1	0	0	1	0	0
RP3-510D11.2	ENSG00000234546.2	3	7	7	1	17	8
H6PD	ENSG00000049239.8	345	736	367	807	199	207
Z98044.1	ENSG00000252841.1	0	1	0	0	0	0
SPSB1	ENSG00000171621.9	79	99	45	42	37	21
SLC25A33	ENSG00000171612.6	3470	2460	3651	3294	2599	1706
RP13-15M17.1	ENSG00000231181.1	7	5	18	19	2	1
TMEM201	ENSG00000188807.8	541	973	239	993	67	57
PIK3CD	ENSG00000171608.11	1403	2771	1254	2888	158	394
C1orf200	ENSG00000179840.5	40	94	24	51	3	9
RP11-558F24.2	ENSG00000233268.3	0	1	1	1	0	0
RP11-558F24.4	ENSG00000231789.2	251	252	187	181	453	356
CLSTN1	ENSG00000171603.12	1320	2072	585	1856	105	276
RP11-558F24.6	ENSG00000271264.1	0	1	0	0	0	0
CTNNBIP1	ENSG00000178585.10	1059	1006	539	756	392	496
LZIC	ENSG00000162441.7	1966	1787	2020	2156	2008	1945
RP11-84A14.4	ENSG00000228150.1	19	27	24	17	9	18
NMNAT1	ENSG00000173614.9	344	448	539	522	409	510
RN7SKP269	ENSG00000202415.1	6	8	12	2	5	8
RBP7	ENSG00000162444.11	2	5	3	1	4	2
UBE4B	ENSG00000130939.14	1160	1922	1832	2603	1049	1487
RP11-496H15.2	ENSG00000224340.1	0	4	0	1	0	0
PGAM1P11	ENSG00000233623.2	0	3	5	1	1	6
RNU6-828P	ENSG00000201746.1	2	1	0	1	0	0
KIF1B	ENSG00000054523.12	585	722	1195	1312	727	845
MIR1273D	ENSG00000264881.1	0	2	0	0	1	0
RNU6-37P	ENSG00000199562.1	1	0	3	3	7	3
PGD	ENSG00000142657.16	14303	17327	14153	18331	6136	7608
RP4-736L20.3	ENSG00000271989.1	0	3	0	4	0	2
APITD1	ENSG00000175279.17	636	431	557	604	616	440
CORT	ENSG00000241563.2	4	10	8	4	1	10
DFFA	ENSG00000160049.7	2544	2597	3379	2972	3458	3238
PEX14	ENSG00000142655.8	159	243	199	271	108	116
RN7SL614P	ENSG00000243267.2	0	0	1	0	0	0
CASZ1	ENSG00000130940.10	15	16	9	23	2	11
RP4-734G22.3	ENSG00000272078.1	7	0	2	5	0	0
C1orf127	ENSG00000175262.10	7	11	12	8	1	3
TARDBP	ENSG00000120948.11	17116	14763	21135	20236	24272	16745
MASP2	ENSG00000009724.12	6	15	14	23	9	13
RP4-635E18.8	ENSG00000271895.1	180	109	48	66	107	85
SRM	ENSG00000116649.5	12210	11475	13220	12079	4867	5022
EXOSC10	ENSG00000171824.9	7364	8375	10489	9229	13780	11938
RP4-635E18.7	ENSG00000226849.1	5	5	4	7	2	8
RP4-635E18.6	ENSG00000230337.1	36	31	28	32	54	23
MTOR	ENSG00000198793.8	976	1731	1443	2820	771	710
MTOR-AS1	ENSG00000225602.1	0	1	1	3	0	0
RNU6-537P	ENSG00000253086.1	0	0	1	0	0	0
snoU13	ENSG00000271794.1	0	1	0	0	0	0
ANGPTL7	ENSG00000171819.4	0	1	1	1	0	0
RPL39P6	ENSG00000238173.1	1	0	0	1	0	0
UBIAD1	ENSG00000120942.9	1869	1925	2604	2480	541	1132
UBE2V2P3	ENSG00000238199.1	50	37	65	40	97	62
PTCHD2	ENSG00000204624.6	9	24	3	4	3	1
FBXO2	ENSG00000116661.9	4	1	4	1	1	2
FBXO44	ENSG00000132879.9	257	247	76	129	71	142
FBXO6	ENSG00000116663.6	541	598	539	414	311	355
MAD2L2	ENSG00000116670.10	5703	5515	5066	4439	6435	6464
DRAXIN	ENSG00000162490.6	8	16	4	12	26	10
AGTRAP	ENSG00000177674.11	3511	3684	3387	3426	1346	2490
C1orf167	ENSG00000215910.3	0	0	0	0	4	1
MTHFR	ENSG00000177000.6	728	1405	678	1563	293	600
CLCN6	ENSG00000011021.17	1127	1993	1603	2060	719	1279
NPPA-AS1	ENSG00000242349.1	50	55	47	57	16	49
NPPA	ENSG00000175206.6	14	21	20	13	7	17
NPPB	ENSG00000120937.8	0	0	1	1	0	0
RNU5E-1	ENSG00000199347.1	5	7	7	6	7	3
RNU5E-4P	ENSG00000201801.1	2	2	0	1	1	0
KIAA2013	ENSG00000116685.11	4337	4597	2094	4088	364	756
PLOD1	ENSG00000083444.12	2882	3635	2075	2606	623	2860
MFN2	ENSG00000116688.12	2150	3093	2738	4116	321	897
RP5-1077B9.5	ENSG00000270914.1	2	0	0	0	0	0
MIIP	ENSG00000116691.6	2467	2397	1697	1642	262	1101
RN7SL649P	ENSG00000243539.2	4	0	0	4	0	0
TNFRSF8	ENSG00000120949.10	116	241	96	207	10	23
TNFRSF1B	ENSG00000028137.12	421	821	389	769	72	154
VPS13D	ENSG00000048707.9	629	838	879	1097	584	802
SNORA59A	ENSG00000239149.1	31	11	12	7	15	17
RP5-888M10.2	ENSG00000229484.1	0	0	0	2	2	4
DHRS3	ENSG00000162496.4	1755	807	125	80	1167	1766
RNU6ATAC18P	ENSG00000221340.1	1	0	0	0	2	6
RP11-474O21.5	ENSG00000272482.1	1	3	0	0	5	5
AADACL3	ENSG00000188984.7	2	0	0	0	0	0
C1orf158	ENSG00000157330.5	0	0	0	0	0	1
HNRNPCL1	ENSG00000179172.7	15	14	41	25	21	35
RP13-221M14.6	ENSG00000250113.1	0	0	1	1	2	0
HNRNPCP5	ENSG00000179412.8	3	4	1	2	5	6
PRDM2	ENSG00000116731.18	816	879	1069	1064	835	972
RP4-704D23.1	ENSG00000234593.1	1	0	0	0	0	0
KAZN	ENSG00000189337.11	298	418	453	368	99	279
TMEM51-AS1	ENSG00000175147.7	1	0	1	1	0	1
TMEM51	ENSG00000171729.9	245	301	214	268	88	168
C1orf195	ENSG00000204464.3	3	1	1	0	0	1
RP1-21O18.3	ENSG00000215720.4	1	3	2	2	0	1
FHAD1	ENSG00000142621.15	1	7	1	7	3	6
RP3-467K16.4	ENSG00000228140.1	8	7	2	7	4	10
EFHD2	ENSG00000142634.8	3971	4989	3191	4596	1684	2009
CTRC	ENSG00000162438.7	0	1	1	0	2	1
CELA2A	ENSG00000142615.7	0	4	2	15	4	3
CELA2B	ENSG00000215704.5	8	12	12	78	30	18
CASP9	ENSG00000132906.13	1351	1456	1200	1102	1475	2085
DNAJC16	ENSG00000116138.8	963	957	828	1051	599	643
RP4-680D5.8	ENSG00000272510.1	1	1	0	1	1	0
AGMAT	ENSG00000116771.5	132	145	129	184	29	39
RP4-680D5.2	ENSG00000237301.1	5	3	6	2	1	1
CHCHD2P6	ENSG00000235084.2	106	159	151	117	142	134
DDI2	ENSG00000197312.7	800	1071	1393	1425	1115	987
PLEKHM2	ENSG00000116786.7	686	1054	372	1231	68	168
RP11-288I21.1	ENSG00000237938.1	19	26	18	24	10	18
SLC25A34	ENSG00000162461.7	31	17	18	14	8	13
FBLIM1	ENSG00000162458.8	1	0	0	1	1	3
RP11-169K16.6	ENSG00000224321.1	5	8	4	9	5	9
RP11-169K16.7	ENSG00000233954.4	561	596	515	466	745	510
RP11-169K16.8	ENSG00000178715.7	119	117	117	81	74	69
RP11-169K16.9	ENSG00000179743.2	519	509	391	489	656	698
SPEN	ENSG00000065526.6	1494	1409	1686	2019	807	1066
snoU13	ENSG00000238818.1	0	0	2	0	0	0
RP1-134O19.3	ENSG00000270620.1	0	0	0	2	0	0
ZBTB17	ENSG00000116809.7	1298	1674	783	1536	208	802
RP11-5P18.1	ENSG00000234607.2	0	0	0	0	1	0
HSPB7	ENSG00000173641.13	2	0	0	1	0	1
CLCNKA	ENSG00000186510.7	2	16	0	3	1	27
CLCNKB	ENSG00000184908.13	58	97	22	26	42	170
FAM131C	ENSG00000185519.8	0	2	4	1	4	6
EPHA2	ENSG00000142627.9	19	15	27	80	12	21
ARHGEF19	ENSG00000142632.12	129	200	176	153	45	124
ANO7P1	ENSG00000237276.4	19	5	12	9	11	19
C1orf134	ENSG00000204377.3	54	30	21	28	5	5
RSG1	ENSG00000132881.7	163	109	121	91	33	117
MT1XP1	ENSG00000233929.1	15	18	19	8	9	16
FBXO42	ENSG00000037637.6	3193	3941	3083	3453	2358	4257
SZRD1	ENSG00000055070.12	1269	1658	1446	1426	1224	1329
RP11-430L17.1	ENSG00000226457.1	3	6	10	11	3	3
SPATA21	ENSG00000187144.7	56	39	7	20	5	4
NECAP2	ENSG00000157191.15	4383	4470	3674	3613	1085	2932
RP4-798A10.2	ENSG00000226029.1	6	3	1	15	1	2
CROCCP3	ENSG00000080947.10	33	32	50	45	33	52
RNU1-1	ENSG00000206652.1	7	10	15	8	8	5
RP4-798A10.7	ENSG00000261135.1	31	27	11	12	7	24
RP4-798A10.4	ENSG00000224174.2	5	6	10	6	10	7
U1	ENSG00000233421.3	4	3	3	1	0	4
NBPF1	ENSG00000219481.6	993	1215	1920	1931	1992	1973
RP5-1182A14.5	ENSG00000271732.1	2	1	0	1	2	3
CROCCP2	ENSG00000215908.5	949	1146	849	1315	448	886
MST1P2	ENSG00000186301.7	6	9	3	8	1	12
RNU1-3	ENSG00000207513.1	1	0	0	0	0	0
AL021920.1	ENSG00000264742.1	1	0	0	0	0	0
EIF1AXP1	ENSG00000236698.1	76	38	75	93	92	68
ESPNP	ENSG00000268869.1	0	1	1	1	2	0
CROCC	ENSG00000058453.12	523	733	358	718	60	173
RNU1-4	ENSG00000207389.1	0	1	1	0	2	1
CROCCP4	ENSG00000227684.1	2	0	1	0	1	1
MST1L	ENSG00000186715.6	3	2	9	9	4	15
U1	ENSG00000228549.2	12	7	9	11	6	5
RP11-108M9.4	ENSG00000238142.1	42	56	33	42	54	66
RP11-108M9.5	ENSG00000235241.1	2	8	5	3	7	17
RNU1-2	ENSG00000207005.1	8	5	4	6	6	7
RP11-108M9.6	ENSG00000272426.1	8	17	12	22	6	25
MFAP2	ENSG00000117122.9	2107	1619	1147	900	1819	2603
RP1-37C10.3	ENSG00000226526.1	0	2	0	0	0	0
ATP13A2	ENSG00000159363.13	2338	3300	1405	3627	110	192
SDHB	ENSG00000117118.5	11759	9535	13714	11449	26577	15578
PADI2	ENSG00000117115.8	10	3	11	15	2	8
RP11-380J14.1	ENSG00000204362.5	1	0	1	1	0	0
PADI1	ENSG00000142623.8	4	0	0	0	0	0
PADI3	ENSG00000142619.4	13	8	49	34	34	32
PADI4	ENSG00000159339.9	423	474	562	413	564	909
AC004824.2	ENSG00000269468.1	3	3	3	4	0	12
RCC2	ENSG00000179051.9	2785	4010	4685	6153	679	1732
ARHGEF10L	ENSG00000074964.12	9	1	7	0	0	0
ACTL8	ENSG00000117148.6	0	19	3	7	4	3
KLHDC7A	ENSG00000179023.7	4	0	0	0	0	0
ALDH4A1	ENSG00000159423.12	358	589	356	721	25	120
MIR1290	ENSG00000221662.1	3	1	0	2	0	0
IFFO2	ENSG00000169991.6	43	57	43	71	23	34
RP5-1126H10.2	ENSG00000272084.1	4	11	4	5	1	3
UBR4	ENSG00000127481.10	1313	2545	2542	2892	1107	2325
AL137127.1	ENSG00000266098.1	1	0	1	4	0	0
RP1-43E13.2	ENSG00000230424.1	34	36	36	34	50	57
EMC1	ENSG00000127463.9	2997	3580	3803	4388	1537	2708
MRTO4	ENSG00000053372.4	3688	4765	6503	5767	3578	2985
AKR7L	ENSG00000211454.9	48	30	25	37	29	15
AKR7A3	ENSG00000162482.4	9	21	6	30	3	11
RP4-657E11.10	ENSG00000270728.1	43	46	51	47	37	19
AKR7A2	ENSG00000053371.8	3979	4917	3111	4012	1631	3122
RNU6-1099P	ENSG00000200403.1	3	6	9	13	1	2
PQLC2	ENSG00000040487.8	603	666	431	561	104	327
RN7SL85P	ENSG00000265192.1	0	0	0	0	0	1
CAPZB	ENSG00000077549.13	21692	18561	10749	12767	10418	10786
RN7SL277P	ENSG00000240490.2	2	4	3	4	0	4
RP5-1056L3.1	ENSG00000235185.1	0	1	0	0	1	1
MINOS1	ENSG00000173436.9	944	620	1036	1002	1163	742
RPS14P3	ENSG00000226396.1	92	95	112	107	140	139
NBL1	ENSG00000158747.9	86	98	34	71	14	9
HTR6	ENSG00000158748.3	0	1	0	0	0	0
TMCO4	ENSG00000162542.9	186	178	121	283	43	70
RNF186	ENSG00000178828.5	1	0	0	0	0	0
OTUD3	ENSG00000169914.5	558	376	320	374	203	275
RP3-340N1.2	ENSG00000227066.1	0	0	0	1	0	0
PLA2G2C	ENSG00000187980.6	0	0	2	0	0	0
RP3-340N1.5	ENSG00000225986.1	1	2	3	12	6	7
UBXN10	ENSG00000162543.5	30	100	117	183	91	176
RP3-340N1.6	ENSG00000228105.1	0	0	0	1	0	0
CAMK2N1	ENSG00000162545.5	0	0	0	2	0	0
MUL1	ENSG00000090432.5	1233	1000	1556	1230	454	1444
FAM43B	ENSG00000183114.6	9	0	0	3	0	5
CDA	ENSG00000158825.5	10	12	16	19	47	25
PINK1	ENSG00000158828.5	212	279	228	228	27	170
PINK1-AS	ENSG00000117242.7	26	46	47	46	2	19
DDOST	ENSG00000244038.5	13385	15346	15377	14774	12073	18329
KIF17	ENSG00000117245.8	9	3	3	7	1	7
SH2D5	ENSG00000189410.7	22	10	3	14	4	7
HP1BP3	ENSG00000127483.13	12677	15808	14861	15638	14783	21051
EIF4G3	ENSG00000075151.15	2206	3201	3018	4124	2508	2803
RPS15AP6	ENSG00000233072.1	165	102	75	87	176	94
RP11-487E1.2	ENSG00000236073.2	7	3	5	4	0	0
RP11-628K18.1	ENSG00000235112.1	10	10	11	6	4	0
AL031005.1	ENSG00000266867.1	0	0	1	0	0	0
ECE1	ENSG00000117298.10	948	1543	799	1635	113	311
RP3-329E20.2	ENSG00000236936.1	5	6	1	3	10	2
RP5-1071N3.1	ENSG00000231105.1	29	25	14	3	0	7
