 Ensembl 	HGNC	N1H1_Pool_1	N1H1_Pool_2	N1H1_Pool_3	P1A8_Pool_1	P1A8_Pool_2	P1A8_Pool_3
ENSG00000005187	ACSM3	113.11	110.83	98.11	125.85	88.37	121.29
ENSG00000005189		274	246	253	288.59	299.84	326
ENSG00000005194	CIAPIN1	3313	2528	2845.79	3678	3593	4144
ENSG00000005206	SPPL2B	706	811	703	676	658	671
ENSG00000005238	FAM214B	509	529	422	680	721	639
ENSG00000005243	COPZ2	238.07	230	242	268	278	328
ENSG00000005249	PRKAR2B	226	168	201	338	366	439
ENSG00000005302	MSL3	917	766	913	1065	1193	1290
ENSG00000005339	CREBBP	3401	3243	2818	2070	2539	3059
ENSG00000005379	BZRAP1	38	54	50	47	48	41
ENSG00000005381	MPO	0	1	0	0	0	0
ENSG00000005421	PON1	1	0	0	1	1	0
ENSG00000005436	GCFC2	774	654.94	739	650	655	810.96
ENSG00000005448	WDR54	2529	2665.37	2159	2134	2119	2011
ENSG00000005469	CROT	384	359	371	519	500	565
ENSG00000005471	ABCB4	229	260	233	127	120	122
ENSG00000005483	MLL5	3008.95	2789	2650	2163	2495	2892
ENSG00000005486	RHBDD2	1034	799	1008	1348	1315	1510
ENSG00000005513	SOX8	0	0	0	0	0	0
ENSG00000005700	IBTK	3242	2709	2945	3010	3309	4214
ENSG00000005801	ZNF195	404	325	405	490	497	508
ENSG00000005810	MYCBP2	2204.99	1776	2077	1532.97	2050	3044.93
ENSG00000005812	FBXL3	3949.09	3303.77	3096	2832.38	2867.93	3453.42
ENSG00000005844	ITGAL	0	0	0	0	0	0
ENSG00000005882	PDK2	893.3	816.93	914.35	976.27	1072.26	1164.66
ENSG00000005884	ITGA3	12088	10816	10757	13249	14405	16021
ENSG00000005889	ZFX	2861	2513	2633	2211	2476	3014
ENSG00000005893	LAMP2	9411.89	7407	7695	7556	7485.05	8736
ENSG00000005955	GGNBP2	2826	2289	2322	2441	2509	2869
ENSG00000005961	ITGA2B	50	103	32	32	40	39
ENSG00000005981	ASB4	0	1	0	0	0	0
ENSG00000006007	GDE1	2074.47	1691	1914	2553.5	2542.39	2950
ENSG00000006015	C19orf60	102	123	75	135	103	107
ENSG00000006016	CRLF1	28.48	38.34	35.36	25.67	34.39	38.36
ENSG00000006025	OSBPL7	388	449	396	306	341	319
ENSG00000006042	TMEM98	1397	1218	1279	52	43	83
ENSG00000006047	YBX2	243	400	264	12	7	16
ENSG00000006059	KRT33A	0	0	0	0	0	0
ENSG00000006062	MAP3K14	532.61	486.4	519.73	684.92	654.3	705.82
ENSG00000006071	ABCC8	0	0	0	0	0	0
ENSG00000006074	CCL18	0	0	0	0	2	0
ENSG00000006075	CCL3	0	0	0	0	0	0
ENSG00000006114	SYNRG	2225	2047	1840	1517	1801	2041
ENSG00000006116	CACNG3	0	0	0	0	0	0
ENSG00000006118	TMEM132A	1003	922	966.86	1097	1009	1193
ENSG00000006125	AP2B1	12813	11137	10763	11441	12392	14568
ENSG00000006128	TAC1	0	0	0	0	0	0
ENSG00000006194	ZNF263	1155.21	1058.68	887.88	888.9	972.59	1142.11
ENSG00000006210	CX3CL1	1043	936	861	250.01	240	293
ENSG00000006282	SPATA20	1341	1297	1247	784	741	845
ENSG00000006283	CACNA1G	36	32	22	5	7	9
ENSG00000006327	TNFRSF12A	2529	1857	2318	1800	1634	1914
ENSG00000006377	DLX6	0	0	0	1	0	0
ENSG00000006432	MAP3K9	1024	946	1040	731	801	1037
ENSG00000006451	RALA	3287	2765	2712	2941	2923	3471
ENSG00000006453	BAIAP2L1	450	426.91	481.72	548.96	596.98	610.96
ENSG00000006459	JHDM1D	1458	1163	1525	358	464	581
ENSG00000006468	ETV1	1322	1229	1389	1960	2209	2688
ENSG00000006530	AGK	1079	974	924	1024	1028	1238
ENSG00000006534	ALDH3B1	215	245	218	646	594	631
ENSG00000006555	TTC22	1	1	2	0	0	0
ENSG00000006576	PHTF2	2738	2224	2256	1949	2062	2389
ENSG00000006606	CCL26	17	7	3	0	3	2
ENSG00000006607	FARP2	700.53	605.71	685.53	996.09	1035.03	1251.18
ENSG00000006611	USH1C	0	5	2	0	0	0
ENSG00000006625	GGCT	676	581	689	886	927	1188
ENSG00000006634	DBF4	1123.61	891	1064.69	1110	1076	1389
ENSG00000006638	TBXA2R	18	14	7	9	15	11
ENSG00000006652	IFRD1	1460	1495	1263	1148	1176	1286
ENSG00000006659	LGALS14	0	0	0	0	0	0
ENSG00000006695	COX10	477	439	393	420	422	433
ENSG00000006704	GTF2IRD1	903	835	872	699	680	726
ENSG00000006712	PAF1	1999	1733	1676	2587	2455	2941
ENSG00000006715	VPS41	2964	2878	2578	2635	2779	3350
ENSG00000006740	ARHGAP44	7	9	12	15	18	21
ENSG00000006744	ELAC2	1427	1156	1442	1640	1536	1907
ENSG00000006747	SCIN	715.89	679.9	794.99	1025.43	1133.44	1336.51
ENSG00000006756	ARSD	3735.29	3382.76	3591.43	2849.99	2995.99	3317.37
ENSG00000006757	PNPLA4	541	482	552	726	703	833
ENSG00000006788	MYH13	0	0	0	0	0	0
ENSG00000006831	ADIPOR2	4268	3566	3684	4506	4530	5487
ENSG00000006837	CDKL3	114.72	100.61	85.35	65.07	57.26	80.03
ENSG00000007001	UPP2	0	1	0	0	0	0
ENSG00000007038	PRSS21	0	0	0	0	0	0
ENSG00000007047	MARK4	1140	1069	1007	781	749	828
ENSG00000007062	PROM1	214	221	259	170	201	277
ENSG00000007080	CCDC124	963	828	800	779	662	852
ENSG00000007129	CEACAM21	0	0	0	0	0	0
ENSG00000007168	PAFAH1B1	8448	7027	7322	8472	8962.25	10792
ENSG00000007171	NOS2	2	0	1	2	0	1
ENSG00000007174	DNAH9	0	0	0	2	0	0
ENSG00000007202	KIAA0100	6807.02	5373.52	6576.9	6126.89	6598.92	7679.46
ENSG00000007216	SLC13A2	0	0	0	1	0	0
ENSG00000007237	GAS7	0	0	0	0	0	0
ENSG00000007255	TRAPPC6A	185	198	180	257	230	287
ENSG00000007264	MATK	0	0	0	0	0	0
ENSG00000007306	CEACAM7	0	0	0	1	0	0
ENSG00000007312	CD79B	0	0	1	0	0	4
ENSG00000007314	SCN4A	0	0	0	0	0	0
ENSG00000007341	ST7L	337.61	332.66	377.12	558.46	517.06	601.22
ENSG00000007350	TKTL1	0	0	0	0	0	0
ENSG00000007372	PAX6	33.9	36	37.58	791.99	814.39	798.98
ENSG00000007376	RPUSD1	243	208	227	303	279	319
ENSG00000007384	RHBDF1	626	531	625	629	715	683
ENSG00000007392	LUC7L	1273	1540	1494	1109	1097	1166
ENSG00000007402	CACNA2D2	8	4	7	142	151	168
ENSG00000007516	BAIAP3	521.14	683.43	343.95	30.07	27.07	29.04
ENSG00000007520	C16orf42	472.86	370.57	379.05	452.93	457.93	638.96
ENSG00000007541	PIGQ	1176	1083	1124	1547	1508	1739
ENSG00000007545	CRAMP1L	916.02	860.04	882.32	878	973.39	1124.34
ENSG00000007866	TEAD3	362	291	378	826	832	906
ENSG00000007908	SELE	0	0	0	0	0	0
ENSG00000007923	DNAJC11	1508.25	1402.24	1398.74	1720.71	1847.26	2061.88
ENSG00000007933	FMO3	0	0	1	0	0	0
ENSG00000007944	MYLIP	601	519	508	946	1085	1112
ENSG00000007952	NOX1	0	0	0	0	0	0
ENSG00000007968	E2F2	244	184	207	302	324	393
ENSG00000008018	PSMB1	3550	3189	3210	4454	4064	5357
ENSG00000008056	SYN1	27	27	20	2	3	1
ENSG00000008083	JARID2	692	689	675	475	541	627
ENSG00000008086	CDKL5	251	238	169	80	107	91
ENSG00000008118	CAMK1G	15	22	9	0	1	0
ENSG00000008128	CDK11A	547.01	500.57	626.97	786.91	783.53	772.31
ENSG00000008130	NADK	867	590	769	1244	1252	1367
ENSG00000008196	TFAP2B	0	0	0	1	0	0
ENSG00000008197	TFAP2D	0	0	0	0	0	0
ENSG00000008226	DLEC1	2.15	3.7	0	2	4.18	4.31
ENSG00000008256	CYTH3	1282	1080	1219	2393	2448	2681
ENSG00000008277	ADAM22	567	580	628	102	118	160
ENSG00000008282	SYPL1	5357	4256	4597	7631	7232	8947
ENSG00000008283	CYB561	378	312	372	1018	897	1109
ENSG00000008294	SPAG9	6636	6372	6250	4341	4776	5568
ENSG00000008300	CELSR3	157	183	222	143	127	156
ENSG00000008311	AASS	815	893	826	445	483	543
ENSG00000008323	PLEKHG6	10	6	9	3	10	9
ENSG00000008324	SS18L2	450	357	384	413	375	501
ENSG00000008382	MPND	278.99	195	246	247	206	230
ENSG00000008394	MGST1	2552	2000	2163	467	451	569
ENSG00000008405	CRY1	1226	779	1368	898	968	1177
ENSG00000008438	PGLYRP1	0	0	0	0	0	0
ENSG00000008441	NFIX	1661	1601	1681	2336	2562	2767
ENSG00000008513	ST3GAL1	1258	1166	1310	1151	1199	1158
ENSG00000008516	MMP25	4.1	8.99	5.29	2.13	4.52	0
ENSG00000008517	IL32	520	509	443	561	608	691
ENSG00000008710	PKD1	1820.46	1915.64	1443.21	1712.93	1703.35	2068.37
ENSG00000008735	MAPK8IP2	2	4	3	9	5	7
ENSG00000008838	MED24	1599	1579	1446	1470	1550	1672
ENSG00000008853	RHOBTB2	829.5	700.39	738.08	1775.81	1694.68	2074.2
ENSG00000008869	HEATR5B	1449	1431	1205	846	983	1102
ENSG00000008952	SEC62	9288	7214	8096	7128	7502	9099
ENSG00000008988	RPS20	13555	12400	11542	10252	9762	11641
ENSG00000009307	CSDE1	19069	16474	15658	13740	14636	17474
ENSG00000009335	UBE3C	4113	3407	3767	3227	3437	4130
ENSG00000009413	REV3L	1585.9	1241.93	1431.9	1322.95	1707.94	2212.97
ENSG00000009694	ODZ1	0	0	1	2	0	1
ENSG00000009709	PAX7	0	0	0	0	0	0
ENSG00000009724	MASP2	19	26	15	22	27	33
ENSG00000009765	IYD	1	0	0	0	0	0
ENSG00000009780	FAM76A	336	229	299	339	336	401
ENSG00000009790	TRAF3IP3	49	54	59	52	51	87
ENSG00000009830	POMT2	214	192	269	411	421	448
ENSG00000009844	VTA1	2656	2202	2194	2790	2728	3260
ENSG00000009950	MLXIPL	4	1	5	3	4	0
ENSG00000009954	BAZ1B	6047	4559	5379	5918	6485	7889
ENSG00000010017	RANBP9	2550.17	2088	2028.86	2217.24	2271.13	2568.91
ENSG00000010030	ETV7	13	6	8	188	210	285
ENSG00000010072	C1orf124	340.49	218.73	316.04	519.52	635.43	660.72
ENSG00000010165	METTL13	990	899	923	1145	1246	1415
ENSG00000010219	DYRK4	346	273.97	303	348.64	319.96	393.9
ENSG00000010244	ZNF207	5301	5286	4965	5856	5915	6710
ENSG00000010256	UQCRC1	4268.01	3697	3422	4269	3802	4664
ENSG00000010270	STARD3NL	1859	1565	1651	1717	1686	2113
ENSG00000010278	CD9	4931	4174	3972	10702	10221	12655
ENSG00000010282	HHATL	0	0	0	1	2	4
ENSG00000010292	NCAPD2	3940.7	3469.67	3690.14	5045.43	5495.49	6512.87
ENSG00000010295	IFFO1	466	395	487	508	527	524
ENSG00000010310	GIPR	14	22	8	0	6	0
ENSG00000010318	PHF7	83	61	52	108	102	102
ENSG00000010319	SEMA3G	4	5	7	3	12	14
ENSG00000010322	NISCH	4044	4597	3928	3106	3195.53	3251
ENSG00000010327	STAB1	20	27	15	0	0	4
ENSG00000010361	FUZ	444.03	424.18	386.1	546.89	441	580.56
ENSG00000010379	SLC6A13	8	7	2	2	0	0
ENSG00000010404	IDS	5711.45	4866.65	4667.54	3585.77	3990.75	4649.99
ENSG00000010438	PRSS3	2	13	6	0	2	4
ENSG00000010539	ZNF200	424	347	392	602	507.64	704
ENSG00000010610	CD4	10	15	13	9	14	9
ENSG00000010626	LRRC23	213.85	236.49	203.99	200.92	175.46	228.02
ENSG00000010671	BTK	3	0	1	1	0	0
ENSG00000010704	HFE	1018	940	817	929	1068	1160
ENSG00000010803	SCMH1	954	837	858	893	933	1041
ENSG00000010810	FYN	664	578	618	743	674	801
ENSG00000010818	HIVEP2	2986.01	2375	2415	897	1096	1438
ENSG00000010932	FMO1	0	1	3	0	0	0
ENSG00000011007	TCEB3	2203.34	1722.81	1689.75	1743.26	2037.65	2213.16
ENSG00000011009	LYPLA2	1269	1064	1173	1640	1586	1748
ENSG00000011021	CLCN6	1382.95	1338.87	1244.88	813	963.84	937.94
ENSG00000011028	MRC2	4896	5049	4637	4876	5169	5838
ENSG00000011052	NME2	25.38	36.83	19.34	26.89	48.42	156.86
ENSG00000011083	SLC6A7	0	0	0	0	0	0
ENSG00000011105	TSPAN9	3049	3017	2802	3768	3820	4025
ENSG00000011114	BTBD7	2529	1991	2073	1728.02	1968	2418
ENSG00000011132	APBA3	324	356	318	344	301	334
ENSG00000011143	MKS1	434	430	472	466	450	515
ENSG00000011198	ABHD5	302	201	262	311	285	386
ENSG00000011201	KAL1	447	412	421	12	24	17
ENSG00000011243	AKAP8L	1683.99	1645.99	1497.99	1414	1435	1377
ENSG00000011258	MBTD1	1410	1319	1290	1182	1259	1487
ENSG00000011260	UTP18	1417	1194	1486	1582	1416	1927
ENSG00000011275	RNF216	1991	1807	1937	1863	1976	2122
ENSG00000011295	TTC19	1175	1014.13	1168.33	1925.5	1856.94	2289.49
ENSG00000011304	PTBP1	9223	8563	8257	8020	7834	9328
ENSG00000011332	DPF1	75	74	67	33	34	41
ENSG00000011347	SYT7	3	2	5	120	117	130
ENSG00000011376	LARS2	1198	1058	1094	1454	1512	1848
ENSG00000011405	PIK3C2A	5097	4108	4233	3663	4396	5485
ENSG00000011422	PLAUR	561	492	437	282	259	327
ENSG00000011426	ANLN	8223	6754	6812	7551	7933	9575
ENSG00000011451	WIZ	951	954	860	942	985	1104
ENSG00000011454	RABGAP1	3076	2938	2822	3029	3475	4002
ENSG00000011465	DCN	11	2	2	23	14	9
ENSG00000011478	QPCTL	364	363	286	295	283	290
ENSG00000011485	PPP5C	2073.77	1821	2004	2659	2526	2950
ENSG00000011523	CEP68	618	621.64	585	839.48	813	957
ENSG00000011566	MAP4K3	1869	1679.97	1845	3177	3259	3966
ENSG00000011590	ZBTB32	3	5	6	1	2	1
ENSG00000011600	TYROBP	0	0	1	0	0	0
ENSG00000011638	TMEM159	326	294	252	284	306	379
ENSG00000011677	GABRA3	2	0	0	0	0	0
ENSG00000012048	BRCA1	1820	1470	1481	2009	2439	2937
ENSG00000012061	ERCC1	1749.78	1736	1707.82	1823.06	1884.63	2034.91
ENSG00000012124	CD22	0	0	0	1	1	0
ENSG00000012171	SEMA3B	131	162	100	130	141	157
ENSG00000012174	MBTPS2	1358.86	1197.49	1314.46	1435.41	1467.87	1866.02
ENSG00000012211	PRICKLE3	133.55	111.27	109.31	123.32	133.09	157.64
ENSG00000012223	LTF	0	0	2	1	2	0
ENSG00000012232	EXTL3	1713	1239	1538	2690	2916	3211
ENSG00000012504	NR1H4	63	46	40	9	8	12
ENSG00000012660	ELOVL5	4939	3786	4629	6673	6647	8133
ENSG00000012779	ALOX5	161	151	137	355	360	358
ENSG00000012817	KDM5D	1	0	0	0	0	0
ENSG00000012822	CALCOCO1	2419	2986	2788	2299	2444	2473
ENSG00000012963	UBR7	3727	3025	3192	3462.21	3467	4169
ENSG00000012983	MAP4K5	3130	2720	2871	2975	3177	3749
ENSG00000013016	EHD3	413	368	351	625	686	821
ENSG00000013275	PSMC4	1519	1273	1352	2004	1842	2266
ENSG00000013288	MAN2B2	865	812	677	1620	1659	1976
ENSG00000013293	SLC7A14	0	0	0	25	35	35
ENSG00000013297	CLDN11	58	64	67	2876	2915	3243.54
ENSG00000013306	SLC25A39	1282	970	1190	1592	1594	1792
ENSG00000013364	MVP	3781.97	3368.98	3447.89	3395	3355.99	3613.92
ENSG00000013374	NUB1	1587	1312	1448	2716	2805.99	3483
ENSG00000013375	PGM3	1964.23	1604.76	1735.41	2219.91	2466.85	2815.97
ENSG00000013392	RWDD2A	353	347	308	522	464	531
ENSG00000013441	CLK1	4997	5339	4058	2896	2594	2826
ENSG00000013503	POLR3B	285	224	336	380	374	444
ENSG00000013523	ANGEL1	396	361	402	457	464	506
ENSG00000013561	RNF14	1506	1208	1307	1713	1736.96	2071
ENSG00000013563	DNASE1L1	703.73	607.73	643.86	921.61	853.72	988.78
ENSG00000013573	DDX11	1359.36	1697.45	1565.78	1505.08	1649.82	1592.28
ENSG00000013583	HEBP1	918	696	858	654	638	822
ENSG00000013588	GPRC5A	3465	3508	3105	1649	1786	2020
ENSG00000013619	MAMLD1	121	110	150	57	56	58
ENSG00000013725	CD6	0	0	0	0	0	0
ENSG00000013810	TACC3	1901.59	1700.68	1701.07	2921.71	2943.76	3313.54
ENSG00000014123	UFL1	1906	1396	1603	1585	1784	2135
ENSG00000014138	POLA2	1437	1260	1261	2047	1967	2281
ENSG00000014164	ZC3H3	307	279	267	292	296	346
ENSG00000014216	CAPN1	2579	2332	2390	2623	2591	2817
ENSG00000014257	ACPP	0	0	0	0	0	0
ENSG00000014641	MDH1	7021	6100	5738	6823	6652.99	7625
ENSG00000014824	SLC30A9	4423	3737	3654	4093	4121	4847
ENSG00000014914	MTMR11	827.56	1105	832	664	777	764
ENSG00000014919	COX15	1311	1362	1192	1404	1405	1587
ENSG00000015133	CCDC88C	617	518	636	613	651	738
ENSG00000015153	YAF2	689	491	550	615	596	772
ENSG00000015171	ZMYND11	3795	3071	3418.98	3768	3982	4802
ENSG00000015285	WAS	0	1	6	6	4	1
ENSG00000015413	DPEP1	29	15	27	32	28	22
ENSG00000015475	BID	845	694	802	1115	1090	1156
ENSG00000015479	MATR3	14833	12685.99	13156	15892.15	16505	19997.04
ENSG00000015520	NPC1L1	8	17	17	0	1	3
ENSG00000015532	XYLT2	1417	1225	1211	872	923	1028
ENSG00000015568	RGPD5	91.73	24.24	13.29	24.68	108.11	1420.21
ENSG00000015592	STMN4	0	0	2	0	0	0
ENSG00000015676	NUDCD3	2249	2067	1986	2538	2670	3018
ENSG00000016082	ISL1	2	0	1	6	9	7
ENSG00000016391	CHDH	131	135	123	227	228	322
ENSG00000016402	IL20RA	1	2	0	2	0	1
ENSG00000016490	CLCA1	0	0	0	0	0	0
ENSG00000016602	CLCA4	0	0	0	0	0	0
ENSG00000016864	GLT8D1	1460.48	1205.64	1358.64	2153.19	2050.59	2581.76
ENSG00000017260	ATP2C1	6707.87	5922.8	5706.58	5718.66	5861.19	6985.51
ENSG00000017373	SRCIN1	13	13	7	14	12	19
ENSG00000017427	IGF1	0	2	1	0	0	1
ENSG00000017483	SLC38A5	1046	986	1020	972	967	1103
ENSG00000017621	MAGIX	50	47	40	76	86	64
ENSG00000017797	RALBP1	2603	2062	2258	2903	3105	3709
ENSG00000018189	RUFY3	868	839	833	488	546	623
ENSG00000018236	CNTN1	1	0	0	11	21	24
ENSG00000018280	SLC11A1	15	13	10	19	19	18
ENSG00000018408	WWTR1	4102.22	3363.23	3649.5	4937.21	5420.78	6233.69
ENSG00000018510	AGPS	3215	2564	3187	3346	3528	4459
ENSG00000018607	ZNF806	0	0	0	0	1	0
ENSG00000018610	CXorf56	775	622	685	811	731	979
ENSG00000018625	ATP1A2	0	0	0	0	1	0
ENSG00000018699	TTC27	624	599	596	647	678	855
ENSG00000018869	ZNF582	19	30	29	71	73	72
ENSG00000019102	VSIG2	2	2	3	2	0	0
ENSG00000019144	PHLDB1	3009	2892.69	3037	1984	1949.62	1927.58
ENSG00000019169	MARCO	0	0	0	0	0	0
ENSG00000019186	CYP24A1	49	89	88	9	10	12
ENSG00000019485	PRDM11	106	92	92	101	120	149
ENSG00000019505	SYT13	0	0	0	0	0	0
ENSG00000019549	SNAI2	194	146	203	61	55	71
ENSG00000019582	CD74	2501	2465	2395	1514	1590	1925
ENSG00000019991	HGF	6	2	8	281	354	447
ENSG00000019995	ZRANB1	2090.93	1625.22	1668.67	1564	1600.06	1878.87
ENSG00000020129	NCDN	606	567	638	772	851	837
ENSG00000020181	GPR124	32.43	31.25	25.17	44.46	54.97	58.61
ENSG00000020219	CCT8L1P	0	0	0	0	0	0
ENSG00000020256	ZFP64	503	469	471	535	497	638
ENSG00000020426	MNAT1	1015	816	754	845	838	1047
ENSG00000020577	SAMD4A	994	1047	972	687	712	838
ENSG00000020633	RUNX3	1	3	0	7	4	7
ENSG00000020922	MRE11A	1117.98	1010.59	980.23	1275.85	1382.49	1601.54
ENSG00000021300	PLEKHB1	365	356	398	280	296	355
ENSG00000021355	SERPINB1	904	749	887	978	1016	1150
ENSG00000021461	CYP3A43	0	0	0	0	0	0
ENSG00000021488	SLC7A9	0	0	0	3	2	0
ENSG00000021574	SPAST	1061	828	852	1180	1261	1543
ENSG00000021645	NRXN3	202	172	199	1	5	1
ENSG00000021762	OSBPL5	241	256	227	332	369	388
ENSG00000021776	AQR	2255	2129	1928	1849	2161	2444
ENSG00000021826	CPS1	1422	1238	1270	1589	1620	1855
ENSG00000021852	C8B	0	0	0	0	0	0
ENSG00000022267	FHL1	2796	2587	2268	1540	1573	1793
ENSG00000022277	C20orf43	3101	2877	2710.97	2818	2942	3360
ENSG00000022355	GABRA1	0	0	0	1	1	0
ENSG00000022556	NLRP2	0	0	0	0	0	0
ENSG00000022567	SLC45A4	150	120	149	250	236	265
ENSG00000022840	RNF10	3025	2404	2611	2940	3146	3582
ENSG00000022976	ZNF839	295	230	197	368	366	366
ENSG00000023041	ZDHHC6	1436	1385	1334	1351	1312	1585
ENSG00000023171	GRAMD1B	239	186	210	640	744	810
ENSG00000023191	RNH1	3518	3237	3122	3140	2928	3357
ENSG00000023228	NDUFS1	4820	3778	4210	4587	4887	5635
ENSG00000023287	RB1CC1	3158	2445	2606	2335	2527	3051
ENSG00000023318	ERP44	1746	1699	1641	2325	2321	2755
ENSG00000023330	ALAS1	1246	827	824	1484	1587	1842
ENSG00000023445	BIRC3	1233	1077	1258	4691.91	5128	6235
ENSG00000023516	AKAP11	4010	3455	3340	2717	3443	4477
ENSG00000023572	GLRX2	125	119	132	184	167	205
ENSG00000023608	SNAPC1	963.11	784	838	1525.29	1453	1866
ENSG00000023697	DERA	1459	1348	1145	1512	1398	1803
ENSG00000023734	STRAP	3574	2703	3352	3726	3481	4504
ENSG00000023839	ABCC2	5	20	22	12	15	14
ENSG00000023892	DEF6	2	5	5	16	30	31
ENSG00000023902	PLEKHO1	364	315	346	402	414	480
ENSG00000023909	GCLM	908	640	761	714	724	903
